id,text,score,x,y,keyword
1,Daphne's Greek Cafe,3.5,34.19198813,-118.937563,Greek Mediterranean Diner Italian
2,Daphne's Greek Cafe,2.5,37.755557,-122.2503608,Greek Mediterranean
3,Laguna Pizza,4.5,38.423436,-121.41361,Pizza
4,Starbucks Coffee,4.5,34.095731,-117.717899,American Coffee Tea
5,Starbucks Coffee,5,36.341065,-119.347593,Coffee
6,Starbucks Coffee,1.5,38.25833449,-122.0536423,Coffee American
7,Starbucks Coffee,3.5,33.687567,-117.988336,Coffee American
8,Starbucks Coffee,4.5,33.787701,-117.815002,Coffee American Tea
9,Starbucks Coffee,3,32.76668345,-115.5328849,Coffee American Tea
10,Starbucks Coffee,4,34.0048,-118.153016,American Coffee Tea
11,Starbucks Coffee,4,33.90267928,-118.083226,American Coffee Tea
12,Starbucks Coffee,4,34.016384,-118.49698,American Coffee
13,Starbucks Coffee,2.5,34.050425,-117.820702,American Coffee
14,Starbucks Coffee,4.5,34.020118,-118.454407,Coffee American Tea
15,Starbucks Coffee,5,38.739985,-121.226114,Coffee American Tea
16,Starbucks Coffee,4,34.003477,-118.471965,Coffee
17,Starbucks Coffee,4.5,33.672452,-117.953586,Coffee American Tea
18,Starbucks Coffee,4,33.679278,-118.004725,Coffee American Tea
19,Churchs Chicken,3.5,34.140635,-117.990695,Chicken Wings Fast Food
20,El Adobe,3.5,33.499466,-117.6625,Mexican American Caribbean Latin American
21,Jack's Restaurant,4,34.864594,-120.44726,Bakery American Burgers Chicken Fast Food Salad Steak
22,Yoshino River Park,3.5,36.849474,-119.7841667,Sushi Japanese
23,Comfort Cafe,3.5,34.015477,-118.4925265,American Healthy Sandwiches Burgers Ice Cream Juices Seafood Smoothies Soup Steak
24,Hinano Café,4,33.979293,-118.466451,Burgers Pub Food Sandwiches
25,Palms,4,34.397338,-119.520776,Californian Seafood American Chicken Steak
26,Fuzhou Super Buffet,4,38.09562,-122.562614,Chinese Buffet
27,Chiaramonte's Deli and Sausages,4,37.353099,-121.886424,Deli Catering Sandwiches
28,Philippe The Original,4.5,34.059767,-118.23675,Sandwiches American Salad Deli French Soup
29,Barstow Station Liquor,3.5,34.891606,-117.000213,Fast Food
30,Luigi's,4.5,35.374537,-118.993195,Italian Deli American
31,McDonald's,1.5,37.781337,-122.420093,American Burgers Fast Food
32,Swan Oyster Depot,4.5,37.79072,-122.42071,Seafood American Traditional
33,Clearman's Galley,4,34.128218,-118.073139,American Seafood
34,Balboa Cafe,4,37.798894,-122.43589,American Burgers Californian Mediterranean
35,Sam's for Play Cafe and Catering On Cleveland Ave,4.5,38.462831,-122.728381,Catering Diner
36,Farmer Boys Restaurant,3.5,33.832059,-117.9850209,American Burgers Fast Food
37,The Farm Of Beverly Hills,4,34.072022,-118.35754,American Californian Coffee Sandwiches Tea
38,St. Francis Fountain,4,37.75285167,-122.40827,American Diner Coffee Deli Ice Cream Frozen Yogurt Sandwiches
39,A G Ferrari Foods,4,37.368496,-122.03496,Deli Catering Italian Sandwiches
40,A G Ferrari Foods,4,37.858281,-122.253116,Italian Deli Sandwiches
41,A G Ferrari Foods,4,37.786776,-122.451612,Deli Italian Sandwiches
42,A&W Restaurant,3,36.302863,-119.135775,American Burgers Hot Dogs Chicken Fast Food Pub Food Sandwiches
43,A&W Restaurant,4.5,34.272035,-118.50015,American Barbecue Dim Sum Chinese Seafood
44,A&W Restaurant,3,35.48476,-120.66527,American Burgers Hot Dogs Chicken Fast Food
45,Camilo's Fine Cuisine and Catering,4,34.139198,-118.213025,Californian French Contemporary Latin
46,Musso and Frank Grill,3.5,34.101572,-118.335352,American Steak Continental Seafood Barbecue Deli European Steakhouse
47,Barney's Beanery,3.5,34.0905,-118.374115,American Traditional Diner Bagels Barbecue Burgers Deli Donuts Pizza Sandwiches
48,Sam's Anchor Cafe,3.5,37.87281873,-122.4564886,American Seafood Cafe Sandwiches Traditional
49,Pacific Dining Car,4.5,34.055558,-118.266053,American Steak Diner Seafood Tea Traditional
50,Bistango Cafe,4,34.02491,-118.27809,Italian American Pizza Sandwiches Pasta Salad
51,Wood Ranch Barbeque,4,34.21831,-119.05551,American Barbecue
52,Basque Hotel,1.5,36.73146,-119.796036,American Mexican
53,El Cholo,4,33.938846,-117.93728,Mexican
54,El Cholo Cantina,3.5,33.66988,-117.78862,Mexican
55,El Cholo Restaurant,4,34.050217,-118.30905,Mexican Diner
56,Espanol Restaurant,4,38.558006,-121.43697,Italian Spanish European
57,Smeraldi's Restaurant,3,34.049788,-118.254047,American Italian Californian Continental Mediterranean
58,The Original Pantry Cafe,3.5,34.04633,-118.262558,American Steak Coffee Cafe Diner
59,Whiskey Creek At Bishop,4,37.364352,-118.395234,American
60,Alioto's Restaurant,3,37.80916,-122.41646,Seafood Italian American European Southern
61,Bay Cities Italian Deli and Bakery,4.5,34.01769,-118.489265,Deli Italian American Bakery
62,Chevy Chase Country Club,5,34.169754,-118.203491,American
63,Dario's Deli and Pizza,4,33.888401,-117.862999,Deli Pizza Sandwiches
64,Ono Hawaiian BBQ,2,37.733758,-122.48956,Hawaiian Pacific Rim Pan Asian American Barbecue Hot Dogs Italian Polynesian
65,Genova Delicatessen,4.5,37.89668284,-122.0641297,Deli Italian
66,Hong Kong Restaurant,4,37.332027,-120.469065,Burgers Chinese
67,Shepherd's Inn,4.5,36.738,-119.78269,Seafood American Mexican Steak
68,Taix French Restaurant,4,34.0780536,-118.2608429,French Healthy Sandwiches Seafood
69,Bella Vista Continental Restaurant,4.5,37.445177,-122.328735,American French Continental Traditional European Italian
70,Mexicali Rose Restaurant,3.5,37.80045,-122.27659,Mexican Fast Food
71,Ole's Waffle Shop,4,37.765562,-122.24176,American Diner Traditional
72,Santa Fe Basque,4,36.778652,-119.79952,American Southwestern
73,Alfred's Steakhouse,4,37.794952,-122.40417,Steak American Barbecue Latin American Salad Seafood Steakhouse
74,Joe's Cafe,4,34.41744519,-119.6962392,American Sandwiches Steak Seafood Burgers Cafe Healthy Salad
75,El Carmen,4.5,34.072183,-118.367257,Mexican Grill
76,Lucca Delicatessen,4.5,37.800556,-122.438194,Deli Italian Sandwiches
77,Piemonte's Italian Delicatessen,5,36.75764,-119.80363,Deli American Italian Sandwiches
78,City Club of San Francisco,4.5,37.792127,-122.401261,American
79,La Golondrina Mexican Cafe,4,34.05709,-118.23834,Mexican American Deli
80,The Brighton Coffeeshop,4,34.0686,-118.403999,Coffee American Diner Californian Deli Tea
81,Village Inn,3.5,33.605509,-117.890027,Seafood American Steak
82,Clifton's Cafeteria,4,34.045208,-118.25271,American Bakery Traditional
83,El Coyote Spanish Cafe,3.5,34.076164,-118.34896,Mexican Spanish American Fast Food Irish
84,Orange Inn,4,33.5375153,-117.779642,Smoothies
85,Petrelli's George Steak House,2.5,33.990013,-118.39525,Steak American Italian Mediterranean Pasta Seafood
86,The Half Way House Cafe,4,34.465673,-118.405264,Cafe
87,Casa Orinda,3,37.879246,-122.182396,American Italian Mexican Latin American Steak Traditional
88,Cosmopolitan Tavern,4.5,36.732777,-119.7966,American Catering Deli Pub Food
89,Espiau's Restaurant,3,34.094757,-117.71788,American Diner International Italian Mediterranean Mexican
90,Marquez Restaurant,4.5,33.90219972,-118.049116,Mexican American Latin American Mediterranean
91,Alley,4,37.813166,-122.24708,Steak
92,Avenue 5 Restaurant and Bar,4.5,32.734093,-117.160327,American French Bistro Fusion
93,Galley,4.5,34.00358,-118.485214,Steak American Seafood Italian Pasta
94,Jim Denny's Lunch,4,38.581195,-121.490155,Burgers American Diner
95,The Red Sails Inn,3,32.72044,-117.227461,American Seafood Californian Diner
96,Nob Hill Foods,4,37.929317,-122.01638,Bakery Deli
97,Sodinis Green Valley Restaurant,4,37.799715,-122.407573,Italian Pizza
98,Tom Bergin's Tavern,4,34.060593,-118.362625,Irish American Pub Food Steak Burgers Deli Salad Sandwiches
99,Big Dipper Cafe,3.5,40.68104267,-122.3709422,Cafe Coffee Sandwiches
100,Damon's Steakhouse,4,34.1507,-118.25509,Steak American Seafood Pacific Rim Steakhouse Thai
101,Kraft Pizza Company,5,38.485023,-121.396412,Fast Food Pizza Sandwiches Subs
102,Original Joe's Restaurant,3.5,37.33145,-121.88705,Italian American Barbecue Burgers Continental European Steak
103,Ravioli House,4,37.564062,-122.320576,American Deli Sandwiches
104,The Buckeye Roadhouse,4,37.880287,-122.51819,American Barbecue Californian Contemporary Italian Seafood Steak Traditional
105,Bill Lee's Bamboo Chopsticks,4,35.37526,-119.015305,Chinese American
106,Cactus Patch Cafe,4,34.05569,-117.65933,Mexican Cafe
107,Cathay House Restaurant,2,37.792447,-122.40638,Chinese Asian
108,El Rancho Grande,5,34.057307,-118.238146,Mexican Cuban Japanese South American
109,Jack's Grill,4,40.581623,-122.391136,Steak
110,Lim's Cafe,4,40.598195,-122.385979,Cafe Fast Food Sandwiches
111,Richmaid Restaurant,4,38.1329,-121.26062,American Burgers Coffee
112,Sears Fine Foods Restaurant,3.5,37.788654,-122.40848,American Diner Californian Coffee
113,Country Kitchen,4.5,36.791714,-121.665976,American Southern
114,Harbor House Cafe No 2,4,33.46681,-117.70028,American Chinese Mexican Diner Deli
115,Kc Steakhouse,3,35.38213,-119.023476,American Steak Seafood
116,Mexicali Restaurant,4,35.37524,-119.008644,Mexican Contemporary
117,Zals Museum Cafe,5,34.423128,-119.704073,Cafe Coffee French Sandwiches
118,Club Pheasant,3.5,38.551988,-121.53776,Italian American
119,Dairy Queen,3,33.558037,-117.724289,Burgers Fast Food Ice Cream American
120,Dairy Queen,3.5,32.856871,-116.926879,Fast Food Ice Cream American Burgers Hot Dogs
121,Dairy Queen,4,39.325973,-120.208733,Ice Cream American Burgers
122,Dairy Queen,4.5,37.964384,-121.987685,Fast Food Ice Cream American Burgers
123,Dairy Queen,5,33.191452,-117.229551,Ice Cream American Burgers Fast Food Hot Dogs Sandwiches
124,Dairy Queen,3.5,33.8659495,-118.09275,Ice Cream American Burgers Fast Food Hot Dogs
125,Dairy Queen,4.5,33.817799,-118.037223,Ice Cream American Burgers Fast Food
126,Dairy Queen,3.5,33.140642,-117.094376,American Ice Cream Fast Food
127,Dairy Queen,5,34.027507,-117.61139,Ice Cream American Burgers Fast Food Hot Dogs
128,Dairy Queen,5,33.875617,-117.583486,American Burgers Fast Food Ice Cream Hot Dogs
129,Dairy Queen,5,34.097692,-117.370807,American Ice Cream Burgers Fast Food Hot Dogs
130,Dairy Queen,1.5,38.712131,-121.28995,Ice Cream American Burgers Fast Food Hot Dogs
131,Dairy Queen,4,33.72531,-117.989089,Ice Cream American Fast Food Burgers Frozen Yogurt Hot Dogs
132,Dairy Queen,3,39.149155,-121.620673,Fast Food Burgers American Ice Cream Hot Dogs
133,Dairy Queen,4,34.13496794,-118.0509281,Fast Food American Ice Cream
134,Dairy Queen,3,38.647177,-121.328251,American Fast Food Ice Cream Burgers
